"Y","W","S","C"
5.008,1,0,0
2.914,1,0,1
3.987,1,1,0
4.478,1,1,1
2.163,1,2,0
6.079,1,2,1
0,1,3,0
2.858,2,0,0
8.066,2,0,1
2.515,2,1,0
4.076,2,1,1
4.832,2,2,0
3.69,2,2,1
0,2,3,0
0.866,2,3,1
3.666,3,0,1
3.251,3,1,1
0.665,3,2,0
4.883,3,2,1
0.289,3,3,0
5.633,3,3,1
0,4,0,1
1.071,4,1,0
0.713,4,1,1
2.961,4,2,0
9.274,4,2,1
0,4,3,0
2.07,4,3,1
0,5,2,0
3.882,5,2,1
0,5,3,0
3.539,5,3,1
2.207,1,0,0
5.129,1,0,1
2.648,1,1,0
4.552,1,1,1
2.163,1,2,0
5.357,1,2,1
1.974,1,3,0
6.128,1,3,1
0,2,0,0
6.044,2,0,1
0.495,2,1,0
2.762,2,1,1
0.363,2,2,0
4.275,2,2,1
0,2,3,0
3.717,2,3,1
1.304,3,0,1
0,3,1,0
1.639,3,1,1
2.455,3,2,0
4.419,3,2,1
0.501,3,3,0
4.104,3,3,1
0,4,2,0
3.595,4,2,1
0,4,3,0
0.747,4,3,1
1.875,5,2,1
3.282,5,3,1
0,1,0,0
4.234,1,0,1
3.671,1,1,0
5.758,1,1,1
4.512,1,2,0
7.592,1,2,1
0,1,3,0
2.931,2,0,1
0,2,1,0
3.075,2,1,1
0.853,2,2,0
5.623,2,2,1
0,2,3,0
1.667,2,3,1
3.806,3,0,1
0.635,3,1,0
3.344,3,1,1
1.208,3,2,0
5.386,3,2,1
0.428,3,3,0
4.466,3,3,1
0,4,0,0
0,4,0,1
4.695,4,1,0
3.607,4,1,1
1.172,4,2,0
2.13,4,2,1
0.258,4,3,0
21.066,4,3,1
5.098,5,0,1
0,5,1,0
0,5,1,1
0,5,2,0
4.855,5,2,1
0.441,5,3,0
8.706,5,3,1
1.601,1,0,0
3.969,1,0,1
1.619,1,1,0
1.537,1,1,1
1.527,1,2,0
3.775,1,2,1
0,1,3,0
0.864,1,3,1
4.265,2,0,0
3.445,2,0,1
0.169,2,1,0
0.845,2,1,1
0.741,2,2,0
3.95,2,2,1
0,2,3,0
3.592,2,3,1
0,3,0,0
2.059,3,0,1
0,3,1,0
1.909,3,1,1
1.188,3,2,0
3.394,3,2,1
1.74,3,3,0
4.361,3,3,1
0,4,1,1
2.173,4,2,0
2.846,4,2,1
1.052,4,3,0
4.51,4,3,1
7.156,5,2,0
1.667,5,2,1
1.558,5,3,0
3.656,5,3,1
0,1,0,0
6.038,1,0,1
0.661,1,1,0
2.116,1,1,1
0.307,1,2,0
3.869,1,2,1
1.498,1,3,0
2.569,1,3,1
0,2,0,0
1.049,2,0,1
0,2,1,0
3.188,2,1,1
0.502,2,2,0
3.718,2,2,1
0.313,2,3,0
2.626,2,3,1
0.882,3,0,0
5.251,3,0,1
0,3,1,0
0.306,3,1,1
0,3,2,0
2.489,3,2,1
0,3,3,0
3.885,3,3,1
0,4,0,1
2.002,4,1,1
0.754,4,2,0
3.713,4,2,1
0,4,3,0
3.297,4,3,1
0,5,2,0
3.103,5,2,1
0,5,3,0
1.941,5,3,1
0,1,0,1
1.895,1,1,1
1.109,1,2,0
3.534,1,2,1
0,1,3,0
2.627,1,3,1
1.667,2,0,0
0,2,0,1
0.524,2,1,1
0.22,2,2,0
3.344,2,2,1
1.24,2,3,0
3.948,2,3,1
0,3,0,0
0,3,0,1
2.325,3,1,1
2.142,3,2,0
3.229,3,2,1
0.12,3,3,0
2.782,3,3,1
0,4,0,1
0,4,1,0
0,4,1,1
0,4,2,0
3.703,4,2,1
1.512,4,3,0
1.597,4,3,1
4.106,5,2,0
2.579,5,2,1
1.176,5,3,0
2.264,5,3,1
0.663,1,0,0
3.6,1,0,1
5,1,1,0
4.106,1,1,1
1.135,1,2,0
2.868,1,2,1
0,1,3,0
2.866,1,3,1
0,2,0,0
5.068,2,0,1
1.001,2,1,0
0.869,2,1,1
1.064,2,2,0
4.433,2,2,1
0,2,3,0
3.282,2,3,1
1.412,3,0,1
0,3,1,0
0,3,1,1
1.569,3,2,0
3.319,3,2,1
1.613,3,3,0
2.905,3,3,1
0,4,0,0
0,4,1,1
0.52,4,2,0
2.181,4,2,1
0.358,4,3,0
3.758,4,3,1
2.092,5,2,0
2.519,5,2,1
3.168,5,3,0
4.11,5,3,1
0.665,1,0,0
3.682,1,0,1
0,1,1,0
8.433,1,1,1
1.092,1,2,0
6.306,1,2,1
0.381,1,3,0
6.527,1,3,1
0,2,0,0
3.024,2,0,1
8.362,2,1,0
4.433,2,1,1
2.363,2,2,0
5.966,2,2,1
0.257,2,3,0
6.337,2,3,1
2.574,3,0,1
3.327,3,1,1
0.259,3,2,0
3.313,3,2,1
0,3,3,0
6.564,3,3,1
0,4,2,0
2.617,4,2,1
2.216,4,3,0
0,5,2,0
1.111,1,0,0
2.786,1,0,1
2.404,1,1,0
4.073,1,1,1
1.727,1,2,0
3.222,1,2,1
0,1,3,0
1.765,1,3,1
0,2,0,0
2.989,2,0,1
1.015,2,1,0
2.231,2,1,1
0.814,2,2,0
3.588,2,2,1
0,2,3,0
0.84,2,3,1
1.667,3,0,0
1.342,3,0,1
2.069,3,1,0
3.743,3,1,1
0.42,3,2,0
2.919,3,2,1
0.316,3,3,0
3.87,3,3,1
1.098,4,0,1
2.029,4,1,1
4.507,4,2,0
3.984,4,2,1
1.102,4,3,0
6.26,4,3,1
0.323,5,2,0
7.484,5,2,1
0,5,3,0
3.15,5,3,1
